tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,1061 + 1115,245 + 1193,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull 8255 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1061 + 1149,245 + 1194,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8255 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1061 + 1150,245 + 1195,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8255 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 3)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1062 + 1115,246 + 1193,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull 8256 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1062 + 1149,246 + 1194,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8256 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1062 + 1150,246 + 1195,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8256 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 3)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1063 + 1115,247 + 1193,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Hull 8257 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1063 + 1149,247 + 1194,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8257 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1063 + 1150,247 + 1195,HD Hyundai Samho,Capital Gas,hyundai-samho|capital|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 8257 (HSHI)' / 'HD Hyundai Samho (Capital Clean ECC 3)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1093 + 1154,1152 + 1201,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3635' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 1)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1093 + 1155,1152 + 1202,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3635' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 2)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1093 + 1156,1152 + 1203,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3635' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1093 + 1157,1152 + 1204,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3635' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1094 + 1154,1153 + 1201,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3636' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 1)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1094 + 1155,1153 + 1202,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3636' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 2)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1094 + 1156,1153 + 1203,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3636' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1094 + 1157,1153 + 1204,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'HD Hyundai HI (HHI) Ulsan 3636' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,1130 + 1154,1154 + 1201,HD Hyundai Heavy Industries,"NYK Line, Ocean Yield",hyundai-ulsan|nyk|200000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'HD Hyundai HI (HHI) Ulsan 3637' / 'HD Hyundai HI (HHI) Ulsan (NYK, Ocean Yield 1)').",verify by source: is the placeholder the same slot as the named row?
